municipality,municipality_id,district,district_id,project_number,project_id,project_name,year,typology,sale_rate,lable,shape_Length,shape_Area
Abu Dhabi City,41,Al Reem Island,57,2020/681749,1270,Hydra Avenue,2025,Apartment / Duplex,10748.000000000000000,10k-12k,909.305516248724075,25720.203326523725991
Abu Dhabi City,41,Al Reem Island,57,2020/478940,1267,Parkside B,2021,Apartment / Duplex,11109.000000000000000,10k-12k,147.973015285553316,1353.686413477755423
Abu Dhabi City,41,Al Reem Island,57,2020/478940,1267,Parkside B,2022,Apartment / Duplex,11292.000000000000000,10k-12k,147.973015285553316,1353.686413477755423
Abu Dhabi City,41,Al Reem Island,57,2020/478940,1267,Parkside B,2023,Apartment / Duplex,11386.000000000000000,10k-13k,147.973015285553316,1353.686413477755423
Abu Dhabi City,41,Al Reem Island,57,2020/478940,1267,Parkside B,2024,Apartment / Duplex,11476.000000000000000,11k-12k,147.973015285553316,1353.686413477755423
Abu Dhabi City,41,Al Reem Island,57,2020/478940,1267,Parkside B,2025,Apartment / Duplex,11523.000000000000000,10k-13k,147.973015285553316,1353.686413477755423
Abu Dhabi City,41,Al Reem Island,57,2019/577836,1256,Parkside A ,2022,Apartment / Duplex,13306.000000000000000,12k-15k,130.861692964977351,1096.848967678969757
Abu Dhabi City,41,Al Reem Island,57,2019/577836,1256,Parkside A ,2023,Apartment / Duplex,13327.000000000000000,12k-15k,130.861692964977351,1096.848967678969757
Abu Dhabi City,41,Al Reem Island,57,2019/577836,1256,Parkside A ,2024,Apartment / Duplex,13326.000000000000000,12k-15k,130.861692964977351,1096.848967678969757
Abu Dhabi City,41,Al Reem Island,57,2019/577836,1256,Parkside A ,2025,Apartment / Duplex,13479.000000000000000,13k-14k,130.861692964977351,1096.848967678969757
Abu Dhabi City,41,Al Reem Island,57,2019/435887,1249,Julphar Residence,2023,Apartment / Duplex,12583.000000000000000,12k-13k,282.684747217729068,4474.917082715061042
Abu Dhabi City,41,Al Reem Island,57,2019/435887,1249,Julphar Residence,2024,Apartment / Duplex,12699.000000000000000,11k-14k,282.684747217729068,4474.917082715061042
Abu Dhabi City,41,Al Reem Island,57,2019/435887,1249,Julphar Residence,2025,Apartment / Duplex,14858.000000000000000,13k-17k,282.684747217729068,4474.917082715061042
Abu Dhabi City,41,Yas Island,1330,2019/222253,1233,LEA,2019,Villa Plot,2716.000000000000000,2k-3k,2573.751193651770336,351646.564308758301195
Abu Dhabi City,41,Yas Island,1330,2019/222253,1233,LEA,2020,Villa Plot,2683.000000000000000,2k-3k,2573.751193651770336,351646.564308758301195
Abu Dhabi City,41,Yas Island,1330,2019/222253,1233,LEA,2021,Villa Plot,2682.000000000000000,2k-3k,2573.751193651770336,351646.564308758301195
Abu Dhabi City,41,Yas Island,1330,2019/222253,1233,LEA,2022,Villa Plot,3370.000000000000000,3k-4k,2573.751193651770336,351646.564308758301195
Abu Dhabi City,41,Yas Island,1330,2019/222253,1233,LEA,2023,Villa Plot,3879.000000000000000,3k-5k,2573.751193651770336,351646.564308758301195
Abu Dhabi City,41,Yas Island,1330,2019/222253,1233,LEA,2024,Villa Plot,4441.000000000000000,4k-5k,2573.751193651770336,351646.564308758301195
Abu Dhabi City,41,Yas Island,1330,2019/222253,1233,LEA,2025,Villa Plot,4472.000000000000000,4k-5k,2573.751193651770336,351646.564308758301195
Abu Dhabi City,41,Al Reem Island,57,2019/203138,1232,Canal Residence,2025,Apartment / Duplex,20017.000000000000000,18k-22k,352.630361609663112,7712.561666000679907
Abu Dhabi City,41,Al Reem Island,57,2019/143416,1231,Al Masoud Building,2020,Apartment / Duplex,13475.000000000000000,12k-15k,271.020722369005739,4214.666992971501713
Abu Dhabi City,41,Al Reem Island,57,2019/143416,1231,Al Masoud Building,2021,Apartment / Duplex,13413.000000000000000,12k-15k,271.020722369005739,4214.666992971501713
Abu Dhabi City,41,Al Reem Island,57,2019/143416,1231,Al Masoud Building,2024,Apartment / Duplex,13099.000000000000000,12k-15k,271.020722369005739,4214.666992971501713
Abu Dhabi City,41,Al Reem Island,57,2019/143416,1231,Al Masoud Building,2025,Apartment / Duplex,13141.000000000000000,12k-15k,271.020722369005739,4214.666992971501713
Abu Dhabi City,41,Al Reem Island,57,2018/208770,1204,"THE WAVE, NAJMAT MARINA",2019,Apartment / Duplex,13074.000000000000000,12k-14k,292.015326707603208,5221.664865436643595
Abu Dhabi City,41,Al Reem Island,57,2018/208770,1204,"THE WAVE, NAJMAT MARINA",2020,Apartment / Duplex,13092.000000000000000,12k-14k,292.015326707603208,5221.664865436643595
Abu Dhabi City,41,Al Reem Island,57,2018/208770,1204,"THE WAVE, NAJMAT MARINA",2021,Apartment / Duplex,13041.000000000000000,12k-14k,292.015326707603208,5221.664865436643595
Abu Dhabi City,41,Al Reem Island,57,2018/208770,1204,"THE WAVE, NAJMAT MARINA",2022,Apartment / Duplex,13041.000000000000000,12k-14k,292.015326707603208,5221.664865436643595
Abu Dhabi City,41,Al Reem Island,57,2018/208770,1204,"THE WAVE, NAJMAT MARINA",2023,Apartment / Duplex,13018.000000000000000,12k-14k,292.015326707603208,5221.664865436643595
Abu Dhabi City,41,Al Reem Island,57,2018/208770,1204,"THE WAVE, NAJMAT MARINA",2024,Apartment / Duplex,13012.000000000000000,12k-14k,292.015326707603208,5221.664865436643595
Abu Dhabi City,41,Al Reem Island,57,2018/208770,1204,"THE WAVE, NAJMAT MARINA",2025,Apartment / Duplex,12913.000000000000000,12k-14k,292.015326707603208,5221.664865436643595
Abu Dhabi City,41,Al Reem Island,57,2018/208110,1203,MARINA BAY ,2019,Apartment / Duplex,17656.000000000000000,16k-18k,292.014459995142829,5221.642072594856472
Abu Dhabi City,41,Al Reem Island,57,2018/208110,1203,MARINA BAY ,2020,Apartment / Duplex,15855.000000000000000,12k-19k,292.014459995142829,5221.642072594856472
Abu Dhabi City,41,Al Reem Island,57,2018/208110,1203,MARINA BAY ,2021,Apartment / Duplex,9858.000000000000000,9k-12k,292.014459995142829,5221.642072594856472
Abu Dhabi City,41,Al Reem Island,57,2018/208110,1203,MARINA BAY ,2022,Apartment / Duplex,8895.000000000000000,8k-10k,292.014459995142829,5221.642072594856472
Abu Dhabi City,41,Al Reem Island,57,2018/208110,1203,MARINA BAY ,2023,Apartment / Duplex,8178.000000000000000,8k-9k,292.014459995142829,5221.642072594856472
Abu Dhabi City,41,Al Reem Island,57,2018/208110,1203,MARINA BAY ,2024,Apartment / Duplex,7992.000000000000000,7k-9k,292.014459995142829,5221.642072594856472
Abu Dhabi City,41,Al Reem Island,57,2018/208110,1203,MARINA BAY ,2025,Apartment / Duplex,8998.000000000000000,8k-10k,292.014459995142829,5221.642072594856472
Abu Dhabi City,41,Al Reem Island,57,2018/175955,1200,AMAYA TOWERS,2019,Apartment / Duplex,12085.000000000000000,11k-14k,369.518591852247937,6131.983303630120645
Abu Dhabi City,41,Al Reem Island,57,2018/175955,1200,AMAYA TOWERS,2020,Apartment / Duplex,11694.000000000000000,11k-12k,369.518591852247937,6131.983303630120645
Abu Dhabi City,41,Al Reem Island,57,2018/175955,1200,AMAYA TOWERS,2021,Apartment / Duplex,10544.000000000000000,10k-11k,369.518591852247937,6131.983303630120645
Abu Dhabi City,41,Al Reem Island,57,2018/175955,1200,AMAYA TOWERS,2022,Apartment / Duplex,10051.000000000000000,9k-11k,369.518591852247937,6131.983303630120645
Abu Dhabi City,41,Al Reem Island,57,2018/175955,1200,AMAYA TOWERS,2023,Apartment / Duplex,10268.000000000000000,10k-11k,369.518591852247937,6131.983303630120645
Abu Dhabi City,41,Al Reem Island,57,2018/175955,1200,AMAYA TOWERS,2024,Apartment / Duplex,10933.000000000000000,10k-13k,369.518591852247937,6131.983303630120645
Abu Dhabi City,41,Al Reem Island,57,2018/175955,1200,AMAYA TOWERS,2025,Apartment / Duplex,11710.000000000000000,11k-12k,369.518591852247937,6131.983303630120645
Abu Dhabi City,41,Al Reem Island,57,2018/136266,1197,ocean scape,2019,Apartment / Duplex,13231.000000000000000,12k-15k,338.967930191018922,5180.652803957646938
Abu Dhabi City,41,Al Reem Island,57,2018/136266,1197,ocean scape,2020,Apartment / Duplex,11846.000000000000000,10k-13k,338.967930191018922,5180.652803957646938
Abu Dhabi City,41,Al Reem Island,57,2018/136266,1197,ocean scape,2021,Apartment / Duplex,8664.000000000000000,8k-10k,338.967930191018922,5180.652803957646938
Abu Dhabi City,41,Al Reem Island,57,2018/136266,1197,ocean scape,2022,Apartment / Duplex,7833.000000000000000,7k-9k,338.967930191018922,5180.652803957646938
Abu Dhabi City,41,Al Reem Island,57,2018/136266,1197,ocean scape,2023,Apartment / Duplex,7784.000000000000000,7k-9k,338.967930191018922,5180.652803957646938
Abu Dhabi City,41,Al Reem Island,57,2018/136266,1197,ocean scape,2024,Apartment / Duplex,7940.000000000000000,7k-9k,338.967930191018922,5180.652803957646938
Abu Dhabi City,41,Al Reem Island,57,2018/136266,1197,ocean scape,2025,Apartment / Duplex,9681.000000000000000,9k-10k,338.967930191018922,5180.652803957646938
Abu Dhabi City,41,Al Reem Island,57,2018/109101,1194,Reflection Tower B,2019,Apartment / Duplex,13770.000000000000000,13k-14k,232.941733895250394,2878.312399537966485
Abu Dhabi City,41,Al Reem Island,57,2018/109101,1194,Reflection Tower B,2020,Apartment / Duplex,13024.000000000000000,12k-15k,232.941733895250394,2878.312399537966485
Abu Dhabi City,41,Al Reem Island,57,2018/109101,1194,Reflection Tower B,2021,Apartment / Duplex,13050.000000000000000,12k-15k,232.941733895250394,2878.312399537966485
Abu Dhabi City,41,Al Reem Island,57,2018/109101,1194,Reflection Tower B,2022,Apartment / Duplex,13433.000000000000000,12k-15k,232.941733895250394,2878.312399537966485
Abu Dhabi City,41,Al Reem Island,57,2018/109101,1194,Reflection Tower B,2023,Apartment / Duplex,12811.000000000000000,12k-14k,232.941733895250394,2878.312399537966485
Abu Dhabi City,41,Al Reem Island,57,2018/109101,1194,Reflection Tower B,2024,Apartment / Duplex,12932.000000000000000,11k-15k,232.941733895250394,2878.312399537966485
Abu Dhabi City,41,Al Reem Island,57,2018/109101,1194,Reflection Tower B,2025,Apartment / Duplex,13814.000000000000000,12k-15k,232.941733895250394,2878.312399537966485
Abu Dhabi City,41,Al Reem Island,57,2018/109061,1193,Reflection Tower A,2022,Apartment / Duplex,13792.000000000000000,12k-15k,215.222987205973055,2617.644268436831226
Abu Dhabi City,41,Al Reem Island,57,2018/109061,1193,Reflection Tower A,2024,Apartment / Duplex,13156.000000000000000,12k-15k,215.222987205973055,2617.644268436831226
Abu Dhabi City,41,Al Reem Island,57,2018/109061,1193,Reflection Tower A,2025,Apartment / Duplex,13443.000000000000000,13k-14k,215.222987205973055,2617.644268436831226
Abu Dhabi City,41,Al Reem Island,57,2018/100615,1186,Beach Towers,2019,Apartment / Duplex,13277.000000000000000,13k-14k,327.546277312002644,6297.991931044165540
Abu Dhabi City,41,Al Reem Island,57,2018/100615,1186,Beach Towers,2020,Apartment / Duplex,12142.000000000000000,10k-13k,327.546277312002644,6297.991931044165540
Abu Dhabi City,41,Al Reem Island,57,2018/100615,1186,Beach Towers,2021,Apartment / Duplex,10473.000000000000000,10k-11k,327.546277312002644,6297.991931044165540
Abu Dhabi City,41,Al Reem Island,57,2018/100615,1186,Beach Towers,2022,Apartment / Duplex,10580.000000000000000,9k-12k,327.546277312002644,6297.991931044165540
Abu Dhabi City,41,Al Reem Island,57,2018/100615,1186,Beach Towers,2023,Apartment / Duplex,10447.000000000000000,10k-11k,327.546277312002644,6297.991931044165540
Abu Dhabi City,41,Al Reem Island,57,2018/100615,1186,Beach Towers,2024,Apartment / Duplex,10483.000000000000000,10k-11k,327.546277312002644,6297.991931044165540
Abu Dhabi City,41,Al Reem Island,57,2018/100615,1186,Beach Towers,2025,Apartment / Duplex,11751.000000000000000,11k-12k,327.546277312002644,6297.991931044165540
Abu Dhabi City,41,Al Reem Island,57,2018/23880,1172,Yasmina residence ,2019,Apartment / Duplex,15618.000000000000000,14k-17k,257.837508117489620,3578.643324601510812
Abu Dhabi City,41,Al Reem Island,57,2018/23880,1172,Yasmina residence ,2020,Apartment / Duplex,15590.000000000000000,14k-17k,257.837508117489620,3578.643324601510812
Abu Dhabi City,41,Al Reem Island,57,2018/23880,1172,Yasmina residence ,2021,Apartment / Duplex,15529.000000000000000,14k-17k,257.837508117489620,3578.643324601510812
Abu Dhabi City,41,Al Reem Island,57,2018/23880,1172,Yasmina residence ,2022,Apartment / Duplex,15627.000000000000000,14k-17k,257.837508117489620,3578.643324601510812
Abu Dhabi City,41,Al Reem Island,57,2018/23880,1172,Yasmina residence ,2023,Apartment / Duplex,15617.000000000000000,14k-17k,257.837508117489620,3578.643324601510812
Abu Dhabi City,41,Al Reem Island,57,2018/23880,1172,Yasmina residence ,2024,Apartment / Duplex,15673.000000000000000,15k-16k,257.837508117489620,3578.643324601510812
Abu Dhabi City,41,Al Reem Island,57,2018/23880,1172,Yasmina residence ,2025,Apartment / Duplex,15808.000000000000000,14k-17k,257.837508117489620,3578.643324601510812
Abu Dhabi City,41,Yas Island,1330,2017/389538,1147,Water's Edge - Precinct B,2019,Apartment / Duplex,12529.000000000000000,12k-13k,1440.787320684216866,104490.208433857042110
Abu Dhabi City,41,Yas Island,1330,2017/389538,1147,Water's Edge - Precinct B,2020,Apartment / Duplex,12638.000000000000000,12k-13k,1440.787320684216866,104490.208433857042110
Abu Dhabi City,41,Yas Island,1330,2017/389538,1147,Water's Edge - Precinct B,2021,Apartment / Duplex,12945.000000000000000,12k-14k,1440.787320684216866,104490.208433857042110
Abu Dhabi City,41,Yas Island,1330,2017/389538,1147,Water's Edge - Precinct B,2022,Apartment / Duplex,13243.000000000000000,12k-15k,1440.787320684216866,104490.208433857042110
Abu Dhabi City,41,Yas Island,1330,2017/389538,1147,Water's Edge - Precinct B,2023,Apartment / Duplex,13129.000000000000000,11k-15k,1440.787320684216866,104490.208433857042110
Abu Dhabi City,41,Yas Island,1330,2017/389538,1147,Water's Edge - Precinct B,2024,Apartment / Duplex,13611.000000000000000,13k-14k,1440.787320684216866,104490.208433857042110
Abu Dhabi City,41,Yas Island,1330,2017/389538,1147,Water's Edge - Precinct B,2025,Apartment / Duplex,15899.000000000000000,14k-17k,1440.787320684216866,104490.208433857042110
Abu Dhabi City,41,Yas Island,1330,2017/346613,1144,West Yas,2019,Villa / Townhouse,8731.000000000000000,8k-9k,6599.623867975426037,1231188.722927441354841
Abu Dhabi City,41,Yas Island,1330,2017/346613,1144,West Yas,2020,Villa / Townhouse,8739.000000000000000,8k-9k,6599.623867975426037,1231188.722927441354841
Abu Dhabi City,41,Yas Island,1330,2017/346613,1144,West Yas,2021,Villa / Townhouse,8749.000000000000000,8k-9k,6599.623867975426037,1231188.722927441354841
Abu Dhabi City,41,Yas Island,1330,2017/346613,1144,West Yas,2022,Villa / Townhouse,8698.000000000000000,8k-9k,6599.623867975426037,1231188.722927441354841
Abu Dhabi City,41,Yas Island,1330,2017/346613,1144,West Yas,2023,Villa / Townhouse,8676.000000000000000,8k-9k,6599.623867975426037,1231188.722927441354841
Abu Dhabi City,41,Yas Island,1330,2017/346613,1144,West Yas,2024,Villa / Townhouse,8714.000000000000000,8k-9k,6599.623867975426037,1231188.722927441354841
Abu Dhabi City,41,Yas Island,1330,2017/346613,1144,West Yas,2025,Villa / Townhouse,8773.000000000000000,8k-9k,6599.623867975426037,1231188.722927441354841
Abu Dhabi City,41,Yas Island,1330,2017/288702,1120,Water's Edge Precinct A,2019,Apartment / Duplex,11934.000000000000000,11k-13k,1263.009263711927815,70552.031922607857268
Abu Dhabi City,41,Yas Island,1330,2017/288702,1120,Water's Edge Precinct A,2020,Apartment / Duplex,12294.000000000000000,12k-13k,1263.009263711927815,70552.031922607857268
Abu Dhabi City,41,Yas Island,1330,2017/288702,1120,Water's Edge Precinct A,2021,Apartment / Duplex,12637.000000000000000,12k-13k,1263.009263711927815,70552.031922607857268
Abu Dhabi City,41,Yas Island,1330,2017/288702,1120,Water's Edge Precinct A,2022,Apartment / Duplex,12390.000000000000000,11k-14k,1263.009263711927815,70552.031922607857268
Abu Dhabi City,41,Yas Island,1330,2017/288702,1120,Water's Edge Precinct A,2023,Apartment / Duplex,12699.000000000000000,12k-13k,1263.009263711927815,70552.031922607857268
Abu Dhabi City,41,Yas Island,1330,2017/288702,1120,Water's Edge Precinct A,2024,Apartment / Duplex,13587.000000000000000,13k-14k,1263.009263711927815,70552.031922607857268
Abu Dhabi City,41,Yas Island,1330,2017/288702,1120,Water's Edge Precinct A,2025,Apartment / Duplex,15271.000000000000000,14k-16k,1263.009263711927815,70552.031922607857268
Abu Dhabi City,41,Al Reem Island,57,2017/23187,1115,City of Lights Towers,2020,Apartment / Duplex,12509.000000000000000,11k-14k,442.450731514265783,11995.516493059807544
Abu Dhabi City,41,Al Reem Island,57,2017/23187,1115,City of Lights Towers,2021,Apartment / Duplex,12031.000000000000000,12k-13k,442.450731514265783,11995.516493059807544
Abu Dhabi City,41,Al Reem Island,57,2017/23187,1115,City of Lights Towers,2022,Apartment / Duplex,11939.000000000000000,11k-13k,442.450731514265783,11995.516493059807544
Abu Dhabi City,41,Al Reem Island,57,2017/23187,1115,City of Lights Towers,2023,Apartment / Duplex,11684.000000000000000,11k-12k,442.450731514265783,11995.516493059807544
Abu Dhabi City,41,Al Reem Island,57,2017/23187,1115,City of Lights Towers,2024,Apartment / Duplex,11143.000000000000000,10k-13k,442.450731514265783,11995.516493059807544
Abu Dhabi City,41,Al Reem Island,57,2017/23187,1115,City of Lights Towers,2025,Apartment / Duplex,11102.000000000000000,10k-13k,442.450731514265783,11995.516493059807544
Abu Dhabi City,41,Al Reem Island,57,2017/196497,1113,Marina Square,2019,Apartment / Duplex,11978.000000000000000,11k-13k,2283.887259336777333,267347.168617790332064
Abu Dhabi City,41,Al Reem Island,57,2017/196497,1113,Marina Square,2020,Apartment / Duplex,10896.000000000000000,9k-13k,2283.887259336777333,267347.168617790332064
Abu Dhabi City,41,Al Reem Island,57,2017/196497,1113,Marina Square,2021,Apartment / Duplex,9126.000000000000000,8k-10k,2283.887259336777333,267347.168617790332064
Abu Dhabi City,41,Al Reem Island,57,2017/196497,1113,Marina Square,2022,Apartment / Duplex,9370.000000000000000,9k-10k,2283.887259336777333,267347.168617790332064
Abu Dhabi City,41,Al Reem Island,57,2017/196497,1113,Marina Square,2023,Apartment / Duplex,9208.000000000000000,9k-10k,2283.887259336777333,267347.168617790332064
Abu Dhabi City,41,Al Reem Island,57,2017/196497,1113,Marina Square,2024,Apartment / Duplex,9491.000000000000000,9k-10k,2283.887259336777333,267347.168617790332064
Abu Dhabi City,41,Al Reem Island,57,2017/196497,1113,Marina Square,2025,Apartment / Duplex,11438.000000000000000,10k-13k,2283.887259336777333,267347.168617790332064
Abu Dhabi City,41,Al Reem Island,57,2017/95946,1062,City of Light ,2019,Apartment / Duplex,15600.000000000000000,14k-16k,446.764221314611291,10439.782421436404547
Abu Dhabi City,41,Al Reem Island,57,2017/95946,1062,City of Light ,2020,Apartment / Duplex,15450.000000000000000,15k-16k,446.764221314611291,10439.782421436404547
Abu Dhabi City,41,Al Reem Island,57,2017/95946,1062,City of Light ,2021,Apartment / Duplex,13985.000000000000000,13k-15k,446.764221314611291,10439.782421436404547
Abu Dhabi City,41,Al Reem Island,57,2017/95946,1062,City of Light ,2022,Apartment / Duplex,10441.000000000000000,9k-12k,446.764221314611291,10439.782421436404547
Abu Dhabi City,41,Al Reem Island,57,2017/95946,1062,City of Light ,2023,Apartment / Duplex,10459.000000000000000,10k-11k,446.764221314611291,10439.782421436404547
Abu Dhabi City,41,Al Reem Island,57,2017/95946,1062,City of Light ,2024,Apartment / Duplex,10263.000000000000000,10k-11k,446.764221314611291,10439.782421436404547
Abu Dhabi City,41,Al Reem Island,57,2017/95946,1062,City of Light ,2025,Apartment / Duplex,11031.000000000000000,10k-12k,446.764221314611291,10439.782421436404547
Abu Dhabi City,41,Al Reem Island,57,2017/119694,1059,The Bridges,2019,Apartment / Duplex,12061.000000000000000,11k-13k,503.200584916120476,16162.348597993895964
Abu Dhabi City,41,Al Reem Island,57,2017/119694,1059,The Bridges,2020,Apartment / Duplex,12067.000000000000000,11k-13k,503.200584916120476,16162.348597993895964
Abu Dhabi City,41,Al Reem Island,57,2017/119694,1059,The Bridges,2021,Apartment / Duplex,11235.000000000000000,10k-12k,503.200584916120476,16162.348597993895964
Abu Dhabi City,41,Al Reem Island,57,2017/119694,1059,The Bridges,2022,Apartment / Duplex,11335.000000000000000,10k-13k,503.200584916120476,16162.348597993895964
Abu Dhabi City,41,Al Reem Island,57,2017/119694,1059,The Bridges,2023,Apartment / Duplex,11295.000000000000000,10k-13k,503.200584916120476,16162.348597993895964
Abu Dhabi City,41,Al Reem Island,57,2017/119694,1059,The Bridges,2024,Apartment / Duplex,11717.000000000000000,11k-12k,503.200584916120476,16162.348597993895964
Abu Dhabi City,41,Al Reem Island,57,2017/119694,1059,The Bridges,2025,Apartment / Duplex,13251.000000000000000,12k-14k,503.200584916120476,16162.348597993895964
Abu Dhabi City,41,Al Reem Island,57,2017/27063,1050,Park View,2022,Apartment / Duplex,11320.000000000000000,10k-12k,202.311339907158100,2376.386830983698474
Abu Dhabi City,41,Al Reem Island,57,2017/27063,1050,Park View,2023,Apartment / Duplex,12132.000000000000000,11k-12k,202.311339907158100,2376.386830983698474
Abu Dhabi City,41,Al Reem Island,57,2017/27063,1050,Park View,2024,Apartment / Duplex,13699.000000000000000,12k-15k,202.311339907158100,2376.386830983698474
Abu Dhabi City,41,Al Reem Island,57,2017/27063,1050,Park View,2025,Apartment / Duplex,13851.000000000000000,12k-16k,202.311339907158100,2376.386830983698474
Abu Dhabi City,41,Al Reem Island,57,2017/35224,1028,City of lights,2019,Apartment / Duplex,16735.000000000000000,16k-17k,532.094366371227238,14172.954798299304457
Abu Dhabi City,41,Al Reem Island,57,2017/35224,1028,City of lights,2020,Apartment / Duplex,17372.000000000000000,16k-19k,532.094366371227238,14172.954798299304457
Abu Dhabi City,41,Al Reem Island,57,2017/35224,1028,City of lights,2021,Apartment / Duplex,15949.000000000000000,15k-17k,532.094366371227238,14172.954798299304457
Abu Dhabi City,41,Al Reem Island,57,2017/35224,1028,City of lights,2022,Apartment / Duplex,13260.000000000000000,12k-15k,532.094366371227238,14172.954798299304457
Abu Dhabi City,41,Al Reem Island,57,2017/35224,1028,City of lights,2023,Apartment / Duplex,11520.000000000000000,11k-12k,532.094366371227238,14172.954798299304457
Abu Dhabi City,41,Al Reem Island,57,2017/35224,1028,City of lights,2024,Apartment / Duplex,9729.000000000000000,9k-10k,532.094366371227238,14172.954798299304457
Abu Dhabi City,41,Al Reem Island,57,2017/35224,1028,City of lights,2025,Apartment / Duplex,10430.000000000000000,10k-12k,532.094366371227238,14172.954798299304457
Abu Dhabi City,41,Al Reem Island,57,2017/32957,1027,The Gate,2019,Apartment / Duplex,14701.000000000000000,14k-15k,1119.497846490735355,67452.134490001422819
Abu Dhabi City,41,Al Reem Island,57,2017/32957,1027,The Gate,2020,Apartment / Duplex,12373.000000000000000,10k-15k,1119.497846490735355,67452.134490001422819
Abu Dhabi City,41,Al Reem Island,57,2017/32957,1027,The Gate,2021,Apartment / Duplex,9749.000000000000000,9k-11k,1119.497846490735355,67452.134490001422819
Abu Dhabi City,41,Al Reem Island,57,2017/32957,1027,The Gate,2022,Apartment / Duplex,9832.000000000000000,9k-11k,1119.497846490735355,67452.134490001422819
Abu Dhabi City,41,Al Reem Island,57,2017/32957,1027,The Gate,2023,Apartment / Duplex,9801.000000000000000,9k-11k,1119.497846490735355,67452.134490001422819
Abu Dhabi City,41,Al Reem Island,57,2017/32957,1027,The Gate,2024,Apartment / Duplex,10047.000000000000000,9k-11k,1119.497846490735355,67452.134490001422819
Abu Dhabi City,41,Al Reem Island,57,2017/32957,1027,The Gate,2025,Apartment / Duplex,11462.000000000000000,10k-12k,1119.497846490735355,67452.134490001422819
Abu Dhabi City,41,Yas Island,1330,2017/2846,1025,Ansam,2019,Apartment / Duplex,14310.000000000000000,13k-16k,1001.941046719955239,48716.409363889455562
Abu Dhabi City,41,Yas Island,1330,2017/2846,1025,Ansam,2020,Apartment / Duplex,13454.000000000000000,13k-14k,1001.941046719955239,48716.409363889455562
Abu Dhabi City,41,Yas Island,1330,2017/2846,1025,Ansam,2021,Apartment / Duplex,12409.000000000000000,12k-13k,1001.941046719955239,48716.409363889455562
Abu Dhabi City,41,Yas Island,1330,2017/2846,1025,Ansam,2022,Apartment / Duplex,12794.000000000000000,11k-14k,1001.941046719955239,48716.409363889455562
Abu Dhabi City,41,Yas Island,1330,2017/2846,1025,Ansam,2023,Apartment / Duplex,13369.000000000000000,13k-14k,1001.941046719955239,48716.409363889455562
Abu Dhabi City,41,Yas Island,1330,2017/2846,1025,Ansam,2024,Apartment / Duplex,14570.000000000000000,14k-15k,1001.941046719955239,48716.409363889455562
Abu Dhabi City,41,Yas Island,1330,2017/2846,1025,Ansam,2025,Apartment / Duplex,17297.000000000000000,15k-18k,1001.941046719955239,48716.409363889455562
Abu Dhabi City,41,Al Reem Island,57,2016/409776,1024,Sun and Sky,2019,Apartment / Duplex,14070.000000000000000,13k-15k,908.207764237335368,40931.166419489672990
Abu Dhabi City,41,Al Reem Island,57,2016/409776,1024,Sun and Sky,2020,Apartment / Duplex,12071.000000000000000,11k-14k,908.207764237335368,40931.166419489672990
Abu Dhabi City,41,Al Reem Island,57,2016/409776,1024,Sun and Sky,2021,Apartment / Duplex,10159.000000000000000,10k-11k,908.207764237335368,40931.166419489672990
Abu Dhabi City,41,Al Reem Island,57,2016/409776,1024,Sun and Sky,2022,Apartment / Duplex,10130.000000000000000,9k-11k,908.207764237335368,40931.166419489672990
Abu Dhabi City,41,Al Reem Island,57,2016/409776,1024,Sun and Sky,2023,Apartment / Duplex,10052.000000000000000,9k-11k,908.207764237335368,40931.166419489672990
Abu Dhabi City,41,Al Reem Island,57,2016/409776,1024,Sun and Sky,2024,Apartment / Duplex,10660.000000000000000,10k-11k,908.207764237335368,40931.166419489672990
Abu Dhabi City,41,Al Reem Island,57,2016/409776,1024,Sun and Sky,2025,Apartment / Duplex,13442.000000000000000,12k-15k,908.207764237335368,40931.166419489672990
Abu Dhabi City,41,Yas Island,1330,2016/377676,1018,Mayan,2019,Apartment / Duplex,16278.000000000000000,15k-18k,1052.110048396389629,32717.105979018571816
Abu Dhabi City,41,Yas Island,1330,2016/377676,1018,Mayan,2020,Apartment / Duplex,16251.000000000000000,14k-18k,1052.110048396389629,32717.105979018571816
Abu Dhabi City,41,Yas Island,1330,2016/377676,1018,Mayan,2021,Apartment / Duplex,16172.000000000000000,16k-17k,1052.110048396389629,32717.105979018571816
Abu Dhabi City,41,Yas Island,1330,2016/377676,1018,Mayan,2022,Apartment / Duplex,16647.000000000000000,16k-17k,1052.110048396389629,32717.105979018571816
Abu Dhabi City,41,Yas Island,1330,2016/377676,1018,Mayan,2023,Apartment / Duplex,16435.000000000000000,15k-17k,1052.110048396389629,32717.105979018571816
Abu Dhabi City,41,Yas Island,1330,2016/377676,1018,Mayan,2024,Apartment / Duplex,18064.000000000000000,18k-19k,1052.110048396389629,32717.105979018571816
Abu Dhabi City,41,Yas Island,1330,2016/377676,1018,Mayan,2025,Apartment / Duplex,19121.000000000000000,18k-20k,1052.110048396389629,32717.105979018571816
Abu Dhabi City,41,Al Reem Island,57,2016/377771,1017,Meera,2019,Apartment / Duplex,14018.000000000000000,12k-16k,393.652019648464886,7716.816182303680762
Abu Dhabi City,41,Al Reem Island,57,2016/377771,1017,Meera,2020,Apartment / Duplex,12855.000000000000000,12k-13k,393.652019648464886,7716.816182303680762
