municipality,municipality_id,district,district_id,project_number,project_id,project_name,year,typology,sale_rate,lable,shape_Length,shape_Area
Abu Dhabi City,41,Al Reem Island,57,2023/105831,1398,Reem Hills - Phase 2A,2024,Villa / Townhouse,11776.000000000000000,10k-13k,5656.147844130809062,74194.861585419901530
Abu Dhabi City,41,Al Reem Island,57,2023/105831,1398,Reem Hills - Phase 2A,2025,Villa / Townhouse,11890.000000000000000,11k-13k,5656.147844130809062,74194.861585419901530
Abu Dhabi City,41,Yas Island,1330,2023/123563,1399,Yas Acres - The Dahlias 2,2025,Villa / Townhouse,13879.000000000000000,12k-15k,456.678027210291305,12952.629010511522210
Abu Dhabi City,41,Al Reem Island,57,20240000164663,1429,Reem Eight,2025,Apartment / Duplex,20449.000000000000000,18k-22k,175.255903767868091,1936.335946961181889
Abu Dhabi City,41,Yas Island,1330,20240000218582,1452,Icon,2024,Apartment / Duplex,20828.000000000000000,20k-21k,298.493889193838356,5775.903115396838075
Abu Dhabi City,41,Yas Island,1330,20240000218582,1452,Icon,2025,Apartment / Duplex,20801.000000000000000,20k-21k,298.493889193838356,5775.903115396838075
Abu Dhabi City,41,Yas Island,1330,20240000210180,1451,Vista Del Mar,2025,Apartment / Duplex,15599.000000000000000,15k-16k,241.529995755257431,4005.560986520241840
Abu Dhabi City,41,Yas Island,1330,20240000205606,1445,The Bay Residence 11,2025,Apartment / Duplex,15826.000000000000000,14k-18k,257.696050874227694,4144.264175386761963
Abu Dhabi City,41,Yas Island,1330,20240000172071,1431,SAMA YAS,2024,Apartment / Duplex,23217.000000000000000,21k-26k,923.100338656445388,27077.932916405101423
Abu Dhabi City,41,Yas Island,1330,20240000172071,1431,SAMA YAS,2025,Apartment / Duplex,23734.000000000000000,23k-25k,923.100338656445388,27077.932916405101423
Abu Dhabi City,41,Al Reem Island,57,20230000119278,1421,ٌٌ Renad tower,2025,Apartment / Duplex,17832.000000000000000,16k-20k,239.945665683268714,3668.125222017872147
Abu Dhabi City,41,Yas Island,1330,20230000070554,1418,Gardenia ,2023,Apartment / Duplex,19222.000000000000000,17k-21k,2162.858486101104972,174415.136471510108095
Abu Dhabi City,41,Yas Island,1330,20230000070554,1418,Gardenia ,2024,Apartment / Duplex,19292.000000000000000,17k-21k,2162.858486101104972,174415.136471510108095
Abu Dhabi City,41,Yas Island,1330,20230000070554,1418,Gardenia ,2025,Apartment / Duplex,19875.000000000000000,19k-21k,2162.858486101104972,174415.136471510108095
Abu Dhabi City,41,Yas Island,1330,20230000095124,1419,Mayyas At The Bay ,2024,Apartment / Duplex,14864.000000000000000,13k-17k,353.659483191771528,7403.643987555797139
Abu Dhabi City,41,Yas Island,1330,20230000095124,1419,Mayyas At The Bay ,2025,Apartment / Duplex,15344.000000000000000,15k-16k,353.659483191771528,7403.643987555797139
Abu Dhabi City,41,Yas Island,1330,2023/176037,1403,Sea La Vie,2023,Apartment / Duplex,18992.000000000000000,17k-21k,818.009413279517844,29912.273262917056854
Abu Dhabi City,41,Yas Island,1330,2023/176037,1403,Sea La Vie,2024,Apartment / Duplex,18764.000000000000000,17k-21k,818.009413279517844,29912.273262917056854
Abu Dhabi City,41,Yas Island,1330,2023/176037,1403,Sea La Vie,2025,Apartment / Duplex,19056.000000000000000,17k-21k,818.009413279517844,29912.273262917056854
