municipality,municipality_id,district,district_id,year,typology,layout,transaction_type,value,volume,shape_Length,shape_Area
Abu Dhabi City,41,YAS ISLAND,1330,2019,Villa / Townhouse,4 beds,All types,1922955514.170000076293945,501.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,All property types,4 beds,All types,1922955514.170000076293945,501.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Villa / Townhouse,5 beds,All types,1364302940.569999933242798,311.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,All property types,5 beds,All types,1364302940.569999933242798,311.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Villa / Townhouse,6+ beds,All types,86330026.180000007152557,21.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,All property types,6+ beds,All types,86330026.180000007152557,21.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Retail,line store,All types,1840650.000000000000000,1.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,All property types,line store,All types,1840650.000000000000000,1.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Apartment / Duplex,studio,All types,16553658.500000000000000,21.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,All property types,studio,All types,16553658.500000000000000,21.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Office,Undefined,All types,2400000000.000000000000000,1.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Other,Undefined,All types,4826617458.750000000000000,9.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Plot,Undefined,All types,326792106.319999992847443,156.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Retail,Undefined,All types,2400000000.000000000000000,1.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,Villa / Townhouse,Undefined,All types,35731368.170000001788139,12.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2019,All property types,Undefined,All types,9989140933.239999771118164,179.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Apartment / Duplex,1 bed,All types,547546317.110000014305115,669.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,1 bed,All types,547546317.110000014305115,669.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Apartment / Duplex,2 beds,All types,897494756.539999961853027,692.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Villa / Townhouse,2 beds,All types,232113793.050000011920929,133.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,2 beds,All types,1129608549.589999914169312,825.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Apartment / Duplex,3 beds,All types,476968282.819999992847443,278.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Villa / Townhouse,3 beds,All types,834446165.389999985694885,351.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,3 beds,All types,1311414448.210000038146973,629.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Apartment / Duplex,4 beds,All types,7850248.200000000186265,4.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Villa / Townhouse,4 beds,All types,851533723.059999942779541,226.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,4 beds,All types,859383971.259999990463257,230.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Villa / Townhouse,5 beds,All types,837510736.090000033378601,105.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,5 beds,All types,837510736.090000033378601,105.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Villa / Townhouse,6+ beds,All types,31667625.170000001788139,7.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,6+ beds,All types,31667625.170000001788139,7.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Retail,line store,All types,1400000.000000000000000,1.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,All property types,line store,All types,1400000.000000000000000,1.000000000000000,23604.657354876042518,28738344.954181831330061
Abu Dhabi City,41,YAS ISLAND,1330,2022,Apartment / Duplex,studio,All types,172084584.909999996423721,270.000000000000000,23604.657354876042518,28738344.954181831330061
