plot_id,community_id,road_id,allocation_status,construction_status,plot_status,zone_tpss,service_status,area_calculated,development_type,landuse_code,elms_landuse_en,elms_landuse_ar,elms_allocation_en,elms_allocation_ar,sector_tpss,flat_id,gis_id,sector_plot_num,plot_number,community_name_eng,community_name_ara,dev_projectid,dev_far,devcode,max_gfa,municipality_name,district_id,district_name,dev_category,dev_description,elms_parentlanduse_e,elms_parentlanduse_a,created_user,created_date,last_edited_user,last_edited_date,estimatedarea,municipality_id,shape_Length,shape_Area
4380142,5168,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.190041959999999,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN2,,10004380142,YN2_P177,P177,YN2,ياس شمال 02,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.200497435283374,19.202311990733175
4380143,5170,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.186421760000002,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN4,,10004380143,YN4_P36,P36,YN4,ياس شمال 4,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.199806427585244,19.198941549556480
4380144,5170,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.190198980000002,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN4,,10004380144,YN4_P35,P35,YN4,ياس شمال 4,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.200642640028995,19.202138998546140
4380145,5170,0,NOT ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.187486580000002,,,BusStationRapidTransportation,موقف حافلات وسائل النقل السريع,,,YN4,,10004380145,YN4_P34,P34,YN4,ياس شمال 4,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.199932081815788,19.200628012217141
4380157,4572,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,notAvailableHaveConsNOC,60864.529606839998451,,,IndoorEntertainment,ترفيه داخلي,,,YS1,,10004380157,YS1_P11,P11,YS1,ياس جنوب 1,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,recreational,ترفيهي,,,,5/5/2025 3:00:46,,41,989.281021809855929,60903.972409527683340
4380158,4572,0,ALLOCATED,Under Construction,Under Construction,YAS ISLAND,notAvailableHaveConsNOC,75215.527175320006791,,,Sports Facility,مرافق رياضية,,,YS1,,10004380158,YS1_P10,P10,YS1,ياس جنوب 1,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,recreational,ترفيهي,,,,8/21/2025 7:30:11,,41,1123.550449836549205,75264.000480988164782
4380159,4572,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,15332.030431049999606,,,IndoorEntertainment,ترفيه داخلي,,,YS1,,10004380159,YS1_P12,P12,YS1,ياس جنوب 1,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,recreational,ترفيهي,,,,,,41,543.534720240620800,15341.901897150604782
4380879,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,102.111579239999998,,,Global System for Mobile Communication-GSM Station,محطة تقوية إرسال الهواتف المتحركة,,,YN7,,10004380879,YN7_GSM7,GSM7,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,40.469230741616009,102.176861100693472
4380888,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.179694359999999,,,Bus Station without lay by,محطة حافلات بدون مواقف جانبية,,,YN7,,10004380888,YN7_P240,P240,YN7,ياس شمال 7,,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.190918106166514,19.191699741498489
4380889,5173,0,ALLOCATED,Not Constructed,Not Constructed,YAS ISLAND,undefined,19.137537920000000,,,Bus Station without lay by,محطة حافلات بدون مواقف جانبية,,,YN7,,10004380889,YN7_P245,P245,YN7,ياس شمال 7,2224,N/A,PLANNED DEVELOPMENT,0.000000000000000,Abu Dhabi City,1330,Yas Island,Other,PLANNED DEVELOPMENT,utility,مرافق,,,,,,41,27.139943353966881,19.149554048509675
