year,municipality,municipality_id,district,district_id,community,community_id,project_id,project_number,project_name,typology,layout,rent_type,lower_rent_value,upper_rent_value,avg_rent_value,lable,shape_Length,shape_Area
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,3 beds,New,189481.000000000000000,245000.000000000000000,214322.000000000000000,214k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,3 beds,Renewal,191223.000000000000000,246600.000000000000000,214419.000000000000000,214k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,4 beds,All types,283500.000000000000000,360950.000000000000000,328498.000000000000000,328k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,4 beds,New,334000.000000000000000,392000.000000000000000,354218.000000000000000,354k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,4 beds,Renewal,269100.000000000000000,308430.000000000000000,290872.000000000000000,291k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,All beds,All types,226370.500000000000000,299475.000000000000000,265650.500000000000000,266k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,All beds,New,261740.500000000000000,318500.000000000000000,284270.000000000000000,284k,1961.882293480008684,231947.188662939355709
2024,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,Villa / Townhouse,All beds,Renewal,230161.500000000000000,277515.000000000000000,252645.500000000000000,253k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,3 beds,All types,183102.000000000000000,260000.000000000000000,218390.000000000000000,218k,1961.882293480008684,231947.188662939355709
2025,Abu Dhabi City,41,YAS ISLAND,1330,YN6,5172,1000,2016/172918,YAS ACRES-Precinct 1,All property types,3 beds,New,183585.000000000000000,252000.000000000000000,215448.000000000000000,215k,1961.882293480008684,231947.188662939355709
